number_of_line_of_code,average_number_of_lines_of_code,average_cyclomatic_complexity_number,average_token_count,function_count,warning_count,function_rate,number_of_line_of_code_rate
3606,3,1.1,10.8,62,0,0,0
,,,,,,,
,,,,,,,
846,17.2,1.8,67.7,51,0,0,0
639,8.2,1.3,53.6,75,0,0,0
80,4.6,2.5,21.3,15,0,0,0
639,8.2,1.3,53.6,75,0,0,0
882,10.7,1.4,52.4,74,0,0,0
111,6.2,1.2,35.4,12,0,0,0
,,,,,,,
40,0,0,0,1,0,0,0
43,3,2,11,1,0,0,0
109,0,0,0,1,0,0,0
129,11.1,1,52.8,11,0,0,0
886,6.1,2,28.1,128,0,0,0
1136,6,1.1,21.8,162,0,0,0
146,0,0,0,1,0,0,0
381,7.1,2,33.7,43,0,0,0
829,12.4,2.2,37.9,65,2,0.03,0.51
80,17.8,3.2,58.2,4,0,0,0
639,8.2,1.3,53.6,75,0,0,0
1136,6,1.1,21.8,162,0,0,0
639,8.2,1.3,53.6,75,0,0,0
108,4.2,1.8,20.5,16,0,0,0
381,7.1,2,33.7,43,0,0,0
376,7,1,38,1,0,0,0
44,18.5,4,136.5,2,0,0,0
470,3.5,1.5,17.5,4,0,0,0
886,6.1,2,28.1,128,0,0,0
54,15.7,1,204.7,3,0,0,0
,,,,,,,
882,10.7,1.4,52.4,74,0,0,0
882,10.7,1.4,52.4,74,0,0,0
359,8.2,2.7,50.2,23,0,0,0
42,0,0,0,1,0,0,0
42,0,0,0,1,0,0,0
452,7.1,2.2,34.1,61,0,0,0
882,10.7,1.4,52.4,74,0,0,0
54,15.7,1,204.7,3,0,0,0
766,8,1.5,40,56,0,0,0
886,6.1,2,28.1,128,0,0,0
64,7.7,1.3,38.4,7,0,0,0
276,6.6,2.4,30.5,37,0,0,0
38,9.7,2.3,67.3,3,0,0,0
220,6.7,2.2,30.4,30,0,0,0
186,10,1.3,64.5,17,0,0,0
1452,5.9,1.1,29.3,196,0,0,0
326,3,1,7.6,29,0,0,0
335,5.5,1.1,20.8,57,0,0,0
846,17.2,1.8,67.7,51,0,0,0
100,16.8,2.6,90.2,5,0,0,0
50,10,1,35,1,0,0,0
29,0,0,0,1,0,0,0
26,7,2,47,3,0,0,0
46,4.7,1.7,22.8,9,0,0,0
47,8,3.2,46.8,5,0,0,0
948,8,2.2,27.2,117,0,0,0
32,0,0,0,1,0,0,0
,,,,,,,
,,,,,,,
104,7.4,1.9,47.3,10,0,0,0
104,7.4,1.9,47.3,10,0,0,0
43,3.1,1,10.1,7,0,0,0
1,0,0,0,1,0,0,0
175,5.3,1.8,29.9,18,0,0,0
81,5,1.4,24.8,14,0,0,0
242,6.2,1.7,23.9,35,0,0,0
187,6.9,3.8,39.5,24,1,0.04,0.09
78,5,1.5,20.5,2,0,0,0
104,7.4,1.9,47.3,10,0,0,0
882,10.7,1.4,52.4,74,0,0,0
242,6.2,1.7,23.9,35,0,0,0
211,7.2,1,67,27,0,0,0
242,6.2,1.7,23.9,35,0,0,0
103,7.6,2.1,36.7,9,0,0,0
18,3,1,21,1,0,0,0
48,19.5,2.5,150.5,2,0,0,0
886,6.1,2,28.1,128,0,0,0
,,,,,,,
103,11.5,1.9,56.2,8,0,0,0
116,10.2,1,39.2,4,0,0,0
198,6.6,1.1,32.8,28,0,0,0
1222,8.1,1.1,31.9,141,0,0,0
284,7,2.5,52.6,36,0,0,0
75,8.2,2.4,43.6,5,0,0,0
609,7.9,1.1,39.1,76,0,0,0
1553,3.6,1,9.4,62,0,0,0
1218,7.2,2.4,38.6,153,2,0.01,0.07
475,9.9,1.7,55.9,44,0,0,0
172,0,0,0,1,0,0,0
609,7.9,1.1,39.1,76,0,0,0
33,12.5,3.5,65,2,0,0,0
292,4.4,1.7,20.5,57,0,0,0
,,,,,,,
4,0,0,0,1,0,0,0
19,3,1,16.2,4,0,0,0
,,,,,,,
111,6.2,1.2,35.4,12,0,0,0
121,6.6,2.7,29.1,15,0,0,0
88,0,0,0,1,0,0,0
67,7.1,1.4,37.2,8,0,0,0
4,0,0,0,1,0,0,0
59,5.2,1.7,27.2,6,0,0,0
624,7.7,2.3,45.5,70,0,0,0
59,5.2,1.7,27.2,6,0,0,0
624,7.7,2.3,45.5,70,0,0,0
766,8,1.5,40,56,0,0,0
75,10.7,3.8,50.5,6,0,0,0
191,4,1.4,14.7,27,0,0,0
802,7.6,1.2,30.8,69,0,0,0
414,5.3,1.6,27.7,71,0,0,0
292,4.4,1.7,20.5,57,0,0,0
20,5,2,12,2,0,0,0
538,4.9,1.1,23.9,94,0,0,0
176,5.8,1.7,54,27,0,0,0
65,14.5,1,69.5,4,0,0,0
882,10.7,1.4,52.4,74,0,0,0
1181,9.3,1.1,34.7,133,0,0,0
,,,,,,,
221,7.9,1,33.7,27,0,0,0
225,4.4,1.6,24.7,43,0,0,0
170,7.3,1,33.3,3,0,0,0
221,7.9,1,33.7,27,0,0,0
129,8,1.1,47.1,14,0,0,0
59,5.2,1.7,27.2,6,0,0,0
509,14.2,3.5,60.4,33,1,0.03,0.43
210,6.4,1.2,23.2,9,0,0,0
1218,7.2,2.4,38.6,153,2,0.01,0.07
452,7.1,2.2,34.1,61,0,0,0
,,,,,,,
221,7.9,1,33.7,27,0,0,0
425,5.5,2.2,41.2,54,0,0,0
6,0,0,0,1,0,0,0
6,0,0,0,1,0,0,0
909,7.8,1.1,41.2,86,0,0,0
174,0,0,0,1,0,0,0
47,8,3.2,46.8,5,0,0,0
,,,,,,,
1979,7,1,48.3,244,0,0,0
1161,9.6,1,163.2,120,0,0,0
3606,3,1.1,10.8,62,0,0,0
1161,9.6,1,163.2,120,0,0,0
802,7.6,1.2,30.8,69,0,0,0
13,3.5,1,19,2,0,0,0
373,6,1.1,38.5,49,0,0,0
,,,,,,,
909,7.8,1.1,41.2,86,0,0,0
229,7.8,1.2,37.5,27,0,0,0
1575,5.8,1,40,237,0,0,0
26,7,2,47,3,0,0,0
909,7.8,1.1,41.2,86,0,0,0
1979,7,1,48.3,244,0,0,0
210,10.7,3.6,59.6,18,0,0,0
15,0,0,0,1,0,0,0
18,0,0,0,1,0,0,0
829,12.4,2.2,37.9,65,2,0.03,0.51
12,0,0,0,1,0,0,0
12,0,0,0,1,0,0,0
101,5.8,1.1,22.2,15,0,0,0
129,5.5,1.8,35.6,17,0,0,0
39,3,1,18,7,0,0,0
210,10.7,3.6,59.6,18,0,0,0
67,6.5,2.4,46.9,8,0,0,0
542,7.3,2,25.6,69,0,0,0
216,4.3,1.6,22.5,44,0,0,0
,,,,,,,
101,4.5,1.5,19.5,2,0,0,0
188,5,1.3,20.4,15,0,0,0
98,5.5,1.3,26.8,16,0,0,0
63,7,1.4,30.6,7,0,0,0
252,4.9,1.1,21.2,49,0,0,0
81,4.6,1,20,16,0,0,0
27,0,0,0,1,0,0,0
118,5,1.4,16.6,19,0,0,0
251,4.4,1,39.2,54,0,0,0
293,6.9,1.1,28.6,36,0,0,0
43,3,2,11,1,0,0,0
35,3,1,14,1,0,0,0
172,4,1,32,1,0,0,0
59,5.2,1.7,27.2,6,0,0,0
145,14.9,4.1,92.2,9,0,0,0
1575,5.8,1,40,237,0,0,0
13,0,0,0,1,0,0,0
33,4.2,1.7,12,6,0,0,0
1202,3.2,1,10.4,28,0,0,0
747,9.5,3.5,31.4,11,1,0.09,0.64
,,,,,,,
,,,,,,,
82,5.3,1,26.9,14,0,0,0
54,15.7,1,204.7,3,0,0,0
67,7.1,1.4,37.2,8,0,0,0
1415,12.4,1.3,48.8,109,0,0,0
78,2.3,1.3,11.3,3,0,0,0
78,2.3,1.3,11.3,3,0,0,0
78,2.3,1.3,11.3,3,0,0,0
1415,12.4,1.3,48.8,109,0,0,0
533,10.3,3,48.3,3,0,0,0
3606,3,1.1,10.8,62,0,0,0
40,4.1,1.4,20.7,7,0,0,0
747,9.5,3.5,31.4,11,1,0.09,0.64
1291,6.6,1,34.7,191,0,0,0
86,3.2,1,10.1,8,0,0,0
86,3.2,1,10.1,8,0,0,0
100,16.8,2.6,90.2,5,0,0,0
50,10,1,35,1,0,0,0
29,0,0,0,1,0,0,0
26,7,2,47,3,0,0,0
46,4.7,1.7,22.8,9,0,0,0
47,8,3.2,46.8,5,0,0,0
948,8,2.2,27.2,117,0,0,0
32,0,0,0,1,0,0,0
,,,,,,,
,,,,,,,
104,7.4,1.9,47.3,10,0,0,0
104,7.4,1.9,47.3,10,0,0,0
43,3.1,1,10.1,7,0,0,0
1,0,0,0,1,0,0,0
175,5.3,1.8,29.9,18,0,0,0
81,5,1.4,24.8,14,0,0,0
242,6.2,1.7,23.9,35,0,0,0
187,6.9,3.8,39.5,24,1,0.04,0.09
78,5,1.5,20.5,2,0,0,0
104,7.4,1.9,47.3,10,0,0,0
882,10.7,1.4,52.4,74,0,0,0
242,6.2,1.7,23.9,35,0,0,0
211,7.2,1,67,27,0,0,0
242,6.2,1.7,23.9,35,0,0,0
103,7.6,2.1,36.7,9,0,0,0
18,3,1,21,1,0,0,0
48,19.5,2.5,150.5,2,0,0,0
886,6.1,2,28.1,128,0,0,0
,,,,,,,
103,11.5,1.9,56.2,8,0,0,0
116,10.2,1,39.2,4,0,0,0
198,6.6,1.1,32.8,28,0,0,0
1222,8.1,1.1,31.9,141,0,0,0
284,7,2.5,52.6,36,0,0,0
75,8.2,2.4,43.6,5,0,0,0
609,7.9,1.1,39.1,76,0,0,0
1553,3.6,1,9.4,62,0,0,0
1218,7.2,2.4,38.6,153,2,0.01,0.07
475,9.9,1.7,55.9,44,0,0,0
172,0,0,0,1,0,0,0
609,7.9,1.1,39.1,76,0,0,0
33,12.5,3.5,65,2,0,0,0
292,4.4,1.7,20.5,57,0,0,0
,,,,,,,
4,0,0,0,1,0,0,0
19,3,1,16.2,4,0,0,0
,,,,,,,
111,6.2,1.2,35.4,12,0,0,0
121,6.6,2.7,29.1,15,0,0,0
88,0,0,0,1,0,0,0
67,7.1,1.4,37.2,8,0,0,0
4,0,0,0,1,0,0,0
59,5.2,1.7,27.2,6,0,0,0
624,7.7,2.3,45.5,70,0,0,0
59,5.2,1.7,27.2,6,0,0,0
624,7.7,2.3,45.5,70,0,0,0
766,8,1.5,40,56,0,0,0
75,10.7,3.8,50.5,6,0,0,0
191,4,1.4,14.7,27,0,0,0
802,7.6,1.2,30.8,69,0,0,0
414,5.3,1.6,27.7,71,0,0,0
292,4.4,1.7,20.5,57,0,0,0
20,5,2,12,2,0,0,0
538,4.9,1.1,23.9,94,0,0,0
176,5.8,1.7,54,27,0,0,0
65,14.5,1,69.5,4,0,0,0
882,10.7,1.4,52.4,74,0,0,0
1181,9.3,1.1,34.7,133,0,0,0
,,,,,,,
221,7.9,1,33.7,27,0,0,0
225,4.4,1.6,24.7,43,0,0,0
170,7.3,1,33.3,3,0,0,0
221,7.9,1,33.7,27,0,0,0
129,8,1.1,47.1,14,0,0,0
59,5.2,1.7,27.2,6,0,0,0
509,14.2,3.5,60.4,33,1,0.03,0.43
210,6.4,1.2,23.2,9,0,0,0
1218,7.2,2.4,38.6,153,2,0.01,0.07
452,7.1,2.2,34.1,61,0,0,0
,,,,,,,
221,7.9,1,33.7,27,0,0,0
425,5.5,2.2,41.2,54,0,0,0
6,0,0,0,1,0,0,0
6,0,0,0,1,0,0,0
909,7.8,1.1,41.2,86,0,0,0
174,0,0,0,1,0,0,0
47,8,3.2,46.8,5,0,0,0
,,,,,,,
1979,7,1,48.3,244,0,0,0
1161,9.6,1,163.2,120,0,0,0
3606,3,1.1,10.8,62,0,0,0
1161,9.6,1,163.2,120,0,0,0
802,7.6,1.2,30.8,69,0,0,0
13,3.5,1,19,2,0,0,0
373,6,1.1,38.5,49,0,0,0
,,,,,,,
909,7.8,1.1,41.2,86,0,0,0
229,7.8,1.2,37.5,27,0,0,0
1575,5.8,1,40,237,0,0,0
26,7,2,47,3,0,0,0
909,7.8,1.1,41.2,86,0,0,0
1979,7,1,48.3,244,0,0,0
210,10.7,3.6,59.6,18,0,0,0
15,0,0,0,1,0,0,0
18,0,0,0,1,0,0,0
829,12.4,2.2,37.9,65,2,0.03,0.51
12,0,0,0,1,0,0,0
12,0,0,0,1,0,0,0
101,5.8,1.1,22.2,15,0,0,0
129,5.5,1.8,35.6,17,0,0,0
39,3,1,18,7,0,0,0
210,10.7,3.6,59.6,18,0,0,0
67,6.5,2.4,46.9,8,0,0,0
542,7.3,2,25.6,69,0,0,0
216,4.3,1.6,22.5,44,0,0,0
,,,,,,,
101,4.5,1.5,19.5,2,0,0,0
188,5,1.3,20.4,15,0,0,0
98,5.5,1.3,26.8,16,0,0,0
63,7,1.4,30.6,7,0,0,0
252,4.9,1.1,21.2,49,0,0,0
81,4.6,1,20,16,0,0,0
27,0,0,0,1,0,0,0
118,5,1.4,16.6,19,0,0,0
251,4.4,1,39.2,54,0,0,0
293,6.9,1.1,28.6,36,0,0,0
43,3,2,11,1,0,0,0
35,3,1,14,1,0,0,0
172,4,1,32,1,0,0,0
59,5.2,1.7,27.2,6,0,0,0
145,14.9,4.1,92.2,9,0,0,0
1575,5.8,1,40,237,0,0,0
13,0,0,0,1,0,0,0
33,4.2,1.7,12,6,0,0,0
1202,3.2,1,10.4,28,0,0,0
747,9.5,3.5,31.4,11,1,0.09,0.64
,,,,,,,
,,,,,,,
82,5.3,1,26.9,14,0,0,0
54,15.7,1,204.7,3,0,0,0
67,7.1,1.4,37.2,8,0,0,0
